time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421854671735.0,,,,nan,,,
421854671991,10,0.0,0.0,4.0,0.0,70,0
421854672247,10,0.0,0.0,,0.0,70,0
421854672503,10,0.0,0.0,,0.0,70,0
421854672759,10,0.0,0.0,,0.05078125,70,0
421854673015,10,0.0,0.0,,0.03515625,70,0
421854673271,10,0.0,0.0,,0.05859375,70,0
421854673527,10,0.0,0.0,,0.0703125,70,0
421854673783,11,9203.039999999999,10335.721846153845,,0.078125,70,0
421854674039,15,9203.039999999999,10335.721846153845,,0.2734375,70,0
421854674295,18,9203.039999999999,10335.721846153845,,0.55859375,70,0
421854674551,19,9203.039999999999,10335.721846153845,,0.41796875,70,0
421854674807,19,6387.679999999999,7173.856000000001,,0.52734375,84,0
421854675063,17,6387.679999999999,7173.856000000001,,0.1640625,84,0
421854675319,17,6387.679999999999,7173.856000000001,,0.125,85,0
421854675575,16,8871.039999999999,9962.860307692306,,0.109375,85,0
421854675831,17,8871.039999999999,9962.860307692306,,0.05078125,85,0
421854676087,17,8871.039999999999,9962.860307692306,,0.02734375,84,0
421854676343,17,7888.32,8859.190153846153,,0.0859375,80,0
421854676599,18,7888.32,8859.190153846153,,0.23046875,80,0
421854676855,18,13638.56,15317.152000000002,,0.43359375,80,0
421854677111,20,16055.519999999999,18031.584,,0.29296875,83,0
421854677367,21,16055.519999999999,18031.584,1.0,0.12109375,85,0
421854677623,22,20012.96,22476.093538461537,,0.06640625,87,0
421854677879,23,20012.96,22476.093538461537,,0.1015625,88,0
421854678135,23,25896.0,29083.199999999997,,0.09375,89,0
421854678391,24,25896.0,29083.199999999997,,0.09765625,90,0
421854678647,24,25896.0,29083.199999999997,,0.109375,90,0
421854678903,24,25896.0,29083.199999999997,,0.09765625,92,0
421854679159,24,28870.719999999998,32424.039384615386,,0.08203125,97,0
421854679415,24,28870.719999999998,32424.039384615386,,0.09375,97,0
421854679671,24,31075.199999999997,34899.84,,0.1328125,97,0
421854679927,25,31075.199999999997,34899.84,,0.12890625,99,0
421854680183,26,36493.439999999995,40984.940307692304,,0.25390625,101,0
421854680439,27,36493.439999999995,40984.940307692304,,0.2578125,102,0
421854680695,27,36493.439999999995,40984.940307692304,,0.15234375,104,0
421854680951,27,32881.28,36928.20676923077,,0.09375,105,0
421854681207,26,32881.28,36928.20676923077,,0.0703125,106,0
421854681463,25,32881.28,36928.20676923077,,0.0859375,106,0
421854681719,24,36108.32,40552.42092307692,,0.06640625,107,0
421854681975,23,36108.32,40552.42092307692,,0.08203125,105,0
421854682231,22,36108.32,40552.42092307692,,0.0703125,105,0
421854682487,22,36108.32,40552.42092307692,,0.09375,104,0
421854682743,22,36108.32,40552.42092307692,,0.09375,104,0
