time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421880201216,,,,5,,,
421880201378.0,15.0,15165.759999999998,17032.315076923078,,0.0,58.0,0.0
421880201634.0,16.0,15165.759999999998,17032.315076923078,,0.0,58.0,0.0
421880201890.0,16.0,15165.759999999998,17032.315076923078,,0.0,58.0,0.0
421880202146.0,16.0,15165.759999999998,17032.315076923078,,0.0,58.0,0.0
421880202402.0,16.0,9867.039999999999,11081.444923076922,,0.015625,59.0,0.0
421880202658.0,16.0,9867.039999999999,11081.444923076922,,0.0,59.0,0.0
421880202914.0,16.0,9867.039999999999,11081.444923076922,,0.0,59.0,0.0
421880203170.0,17.0,11487.199999999999,12901.009230769232,,0.0,59.0,0.0
421880203426.0,18.0,11487.199999999999,12901.009230769232,,0.0,59.0,0.0
421880203682.0,18.0,11487.199999999999,12901.009230769232,,0.015625,59.0,0.0
421880203938.0,19.0,11540.32,12960.667076923077,,0.046875,59.0,0.0
421880204194.0,19.0,11540.32,12960.667076923077,,0.02734375,59.0,0.0
421880204450.0,19.0,11885.599999999999,13348.443076923077,,0.078125,59.0,0.0
421880204706.0,20.0,11885.599999999999,13348.443076923077,,0.03125,59.0,0.0
421880204962.0,20.0,11885.599999999999,13348.443076923077,,0.05078125,59.0,0.0
421880205218.0,21.0,12137.92,13631.817846153846,,0.03515625,60.0,0.0
421880205474.0,21.0,12137.92,13631.817846153846,,0.08984375,60.0,0.0
421880205730.0,21.0,12137.92,13631.817846153846,,0.09375,62.0,0.0
421880205986.0,20.0,14076.8,15809.329230769232,,0.0546875,63.0,0.0
421880206242.0,20.0,14076.8,15809.329230769232,,0.125,65.0,0.0
421880206498.0,20.0,14076.8,15809.329230769232,,0.0859375,65.0,0.0
421880206754.0,20.0,15364.96,17256.032,,0.140625,66.0,0.0
421880207010.0,21.0,15643.84,17569.235692307695,,0.08984375,66.0,0.0
421880207266.0,22.0,15643.84,17569.235692307695,,0.12890625,66.0,0.0
421880207522.0,22.0,15643.84,17569.235692307695,,0.18359375,67.0,0.0
421880207778.0,22.0,15643.84,17569.235692307695,,0.12109375,68.0,0.0
421880208034.0,22.0,18087.36,20313.496615384614,,0.125,71.0,0.0
421880208290.0,22.0,18087.36,20313.496615384614,,0.11328125,76.0,0.0
421880208546.0,21.0,18087.36,20313.496615384614,,0.171875,74.0,0.0
421880208802.0,21.0,18087.36,20313.496615384614,,0.09765625,75.0,0.0
421880209058.0,21.0,18087.36,20313.496615384614,,0.140625,75.0,0.0
421880209314.0,21.0,18087.36,20313.496615384614,,0.23046875,74.0,0.0
421880209570.0,21.0,18087.36,20313.496615384614,1,0.30078125,75.0,0.0
421880209826.0,21.0,23585.28,26488.083692307693,,0.12109375,77.0,0.0
421880210082.0,19.0,23585.28,26488.083692307693,,0.16015625,79.0,0.0
421880210338.0,18.0,26015.52,29217.43015384615,,0.18359375,81.0,0.0
421880210594.0,18.0,26015.52,29217.43015384615,,0.19921875,82.0,0.0
421880210850.0,18.0,26015.52,29217.43015384615,,0.17578125,87.0,0.0
421880211106.0,18.0,26453.76,29709.60738461539,,0.09765625,89.0,0.0
421880211362.0,18.0,26453.76,29709.60738461539,,0.0546875,87.0,0.0
421880211618.0,18.0,26453.76,29709.60738461539,,0.0859375,90.0,0.0
421880211874.0,18.0,26400.64,29649.949538461537,,0.16015625,95.0,0.0
421880212130.0,18.0,26400.64,29649.949538461537,,0.1640625,99.0,0.0
421880212386.0,18.0,26400.64,29649.949538461537,,0.09375,100.0,0.0
421880212642.0,18.0,26706.079999999998,29992.98215384615,,0.046875,100.0,0.0
421880212898.0,18.0,26706.079999999998,29992.98215384615,,0.05859375,100.0,0.0
421880213154.0,18.0,26706.079999999998,29992.98215384615,,0.1015625,101.0,0.0
421880213410.0,18.0,26706.079999999998,29992.98215384615,,0.08203125,101.0,0.0
421880213666.0,18.0,25842.879999999997,29023.542153846156,,0.0625,103.0,0.0
421880213922.0,17.0,25842.879999999997,29023.542153846156,,0.09765625,104.0,0.0
421880214178.0,17.0,25842.879999999997,29023.542153846156,,0.08984375,103.0,0.0
421880214434.0,17.0,26759.199999999997,30052.64,,0.06640625,103.0,0.0
421880214690.0,17.0,26759.199999999997,30052.64,,0.125,101.0,0.0
421880214946.0,18.0,25139.039999999997,28233.07569230769,,0.09375,101.0,0.0
421880215202.0,19.0,25139.039999999997,28233.07569230769,,0.0703125,99.0,0.0
421880215458.0,20.0,25139.039999999997,28233.07569230769,,0.05078125,98.0,0.0
421880215714.0,21.0,25139.039999999997,28233.07569230769,,0.046875,97.0,0.0
421880215970.0,20.0,24209.44,27189.063384615383,,0.125,96.0,0.0
421880216226.0,20.0,24209.44,27189.063384615383,,0.0625,94.0,0.0
421880216482.0,19.0,24209.44,27189.063384615383,,0.0625,93.0,0.0
421880216738.0,19.0,26387.359999999997,29635.03507692308,,0.078125,91.0,0.0
421880216994.0,19.0,26387.359999999997,29635.03507692308,,0.109375,90.0,0.0
421880217250.0,19.0,26387.359999999997,29635.03507692308,,0.08203125,90.0,0.0
421880217506.0,19.0,26573.28,29843.83753846154,,0.08203125,90.0,0.0
421880217762.0,19.0,26573.28,29843.83753846154,,0.08203125,89.0,0.0
421880218018.0,19.0,26573.28,29843.83753846154,,0.08984375,88.0,0.0
421880218274.0,19.0,26135.039999999997,29351.66030769231,,0.06640625,88.0,0.0
421880218530.0,18.0,26135.039999999997,29351.66030769231,,0.09375,89.0,0.0
421880218786.0,18.0,26135.039999999997,29351.66030769231,,0.10546875,88.0,0.0
421880219042.0,18.0,28724.64,32259.98030769231,,0.0703125,86.0,0.0
421880219298.0,19.0,28724.64,32259.98030769231,,0.0703125,84.0,0.0
421880219554.0,19.0,28724.64,32259.98030769231,,0.09375,83.0,0.0
421880219810.0,19.0,28724.64,32259.98030769231,,0.07421875,81.0,0.0
421880220066.0,19.0,26533.44,29799.094153846156,,0.06640625,79.0,0.0
421880220322.0,19.0,26533.44,29799.094153846156,,0.078125,78.0,0.0
421880220578.0,18.0,26533.44,29799.094153846156,,0.07421875,75.0,0.0
421880220834.0,18.0,26533.44,29799.094153846156,,0.08203125,74.0,0.0
421880221090.0,18.0,25271.84,28382.22030769231,,0.15234375,73.0,0.0
421880221346.0,18.0,25271.84,28382.22030769231,,0.11328125,73.0,0.0
421880221602.0,18.0,25271.84,28382.22030769231,,0.11328125,74.0,0.0
421880221858.0,18.0,25271.84,28382.22030769231,,0.1328125,73.0,0.0
421880222114.0,18.0,25271.84,28382.22030769231,,0.08984375,74.0,0.0
421880222370.0,18.0,22602.559999999998,25384.41353846154,,0.109375,74.0,0.0
421880222626.0,17.0,22602.559999999998,25384.41353846154,,0.1171875,75.0,0.0
421880222882.0,17.0,22602.559999999998,25384.41353846154,,0.1171875,77.0,0.0
421880223138.0,17.0,22655.68,25444.071384615385,,0.08984375,78.0,0.0
421880223394.0,17.0,22655.68,25444.071384615385,,0.08984375,80.0,0.0
421880223650.0,17.0,22655.68,25444.071384615385,,0.08203125,81.0,0.0
421880223906.0,17.0,22708.8,25503.729230769233,,0.10546875,82.0,0.0
421880224162.0,17.0,22708.8,25503.729230769233,,0.08984375,82.0,0.0
421880224418.0,17.0,22708.8,25503.729230769233,,0.078125,83.0,0.0
421880224674.0,17.0,23757.92,26681.971692307692,,0.0703125,83.0,0.0
421880224930.0,17.0,23757.92,26681.971692307692,,0.05859375,82.0,0.0
421880225186.0,17.0,23757.92,26681.971692307692,,0.0625,81.0,0.0
421880225442.0,17.0,23757.92,26681.971692307692,,0.08203125,80.0,0.0
421880225698.0,17.0,22151.039999999997,24877.321846153845,,0.12109375,79.0,0.0
421880225954.0,17.0,22151.039999999997,24877.321846153845,,0.1015625,78.0,0.0
421880226210.0,17.0,22151.039999999997,24877.321846153845,,0.08203125,78.0,0.0
421880226466.0,17.0,21779.2,24459.71692307692,,0.078125,76.0,0.0
421880226722.0,17.0,21779.2,24459.71692307692,,0.0546875,76.0,0.0
421880226978.0,17.0,21779.2,24459.71692307692,,0.09375,76.0,0.0
421880227234.0,17.0,21593.28,24250.914461538465,,0.13671875,76.0,0.0
421880227490.0,17.0,21593.28,24250.914461538465,,0.0859375,76.0,0.0
421880227746.0,17.0,21593.28,24250.914461538465,,0.0546875,73.0,0.0
421880228002.0,17.0,23014.239999999998,25846.761846153844,,0.05859375,73.0,0.0
421880228258.0,18.0,23014.239999999998,25846.761846153844,,0.125,73.0,0.0
421880228514.0,19.0,23014.239999999998,25846.761846153844,,0.1875,73.0,0.0
421880228770.0,19.0,24236.0,27218.89230769231,,0.12890625,75.0,0.0
421880229026.0,19.0,24236.0,27218.89230769231,,0.2109375,75.0,0.0
421880229282.0,19.0,24236.0,27218.89230769231,,0.2421875,75.0,0.0
421880229538.0,19.0,24236.0,27218.89230769231,,0.2265625,79.0,0.0
421880229794.0,19.0,21168.32,23773.651692307692,,0.30078125,83.0,0.0
421880230050.0,18.0,21168.32,23773.651692307692,,0.3359375,87.0,0.0
421880230306.0,18.0,21168.32,23773.651692307692,,0.33984375,93.0,45.0
421880230562.0,18.0,21832.32,24519.374769230773,,0.375,100.0,86.0
421880230818.0,18.0,21832.32,24519.374769230773,,0.2578125,108.0,110.0
421880231074.0,18.0,21832.32,24519.374769230773,,0.1484375,113.0,115.0
421880231330.0,18.0,29415.199999999997,33035.53230769231,,0.140625,116.0,94.0
421880231586.0,18.0,29415.199999999997,33035.53230769231,,0.16796875,118.0,44.0
421880231842.0,18.0,29415.199999999997,33035.53230769231,,0.1484375,118.0,0.0
421880232098.0,19.0,29415.199999999997,33035.53230769231,,0.171875,118.0,0.0
421880232354.0,19.0,29415.199999999997,33035.53230769231,,0.1484375,119.0,0.0
421880232610.0,18.0,28485.6,31991.52,,0.19140625,119.0,0.0
421880232866.0,18.0,28485.6,31991.52,,0.19140625,119.0,0.0
421880233122.0,18.0,28485.6,31991.52,,0.17578125,119.0,0.0
421880233378.0,17.0,28485.6,31991.52,,0.171875,119.0,0.0
421880233634.0,17.0,29176.16,32767.072000000004,,0.1875,120.0,0.0
421880233890.0,17.0,29176.16,32767.072000000004,,0.171875,121.0,0.0
421880234146.0,17.0,29176.16,32767.072000000004,,0.16796875,122.0,0.0
421880234402.0,17.0,32562.559999999998,36570.25969230769,,0.17578125,123.0,0.0
421880234658.0,17.0,32562.559999999998,36570.25969230769,,0.1796875,123.0,0.0
421880234914.0,17.0,33903.84,38076.620307692305,,0.18359375,124.0,0.0
421880235170.0,17.0,33903.84,38076.620307692305,,0.16796875,124.0,0.0
421880235426.0,18.0,40729.759999999995,45742.653538461534,,0.1796875,125.0,0.0
421880235682.0,19.0,40729.759999999995,45742.653538461534,,0.19140625,125.0,0.0
421880235938.0,20.0,42217.119999999995,47413.07323076923,,0.16796875,126.0,0.0
421880236194.0,20.0,42217.119999999995,47413.07323076923,,0.16796875,126.0,0.0
421880236450.0,20.0,37356.64,41954.38030769231,,0.18359375,127.0,0.0
421880236706.0,21.0,37356.64,41954.38030769231,,0.1640625,128.0,0.0
421880236962.0,22.0,45377.759999999995,50962.71507692308,,0.140625,129.0,0.0
421880237218.0,24.0,51539.68,57883.025230769235,,0.15234375,129.0,0.0
421880237474.0,27.0,51539.68,57883.025230769235,,0.1953125,130.0,0.0
421880237730.0,30.0,53159.84,59702.58953846154,,0.1640625,131.0,0.0
421880237986.0,31.0,53159.84,59702.58953846154,,0.16796875,132.0,0.0
421880238242.0,32.0,52774.719999999994,59270.07015384616,,0.171875,132.0,0.0
421880238498.0,32.0,52774.719999999994,59270.07015384616,,0.1640625,133.0,0.0
421880238754.0,32.0,52774.719999999994,59270.07015384616,,0.19921875,134.0,0.0
421880239010.0,32.0,49999.2,56152.94769230769,,0.1796875,135.0,0.0
421880239266.0,31.0,51048.32,57331.19015384615,,0.19921875,135.0,0.0
421880239522.0,31.0,51048.32,57331.19015384615,,0.13671875,136.0,0.0
421880239778.0,31.0,51048.32,57331.19015384615,,0.1875,137.0,0.0
421880240034.0,31.0,52150.56,58569.090461538464,,0.19140625,138.0,0.0
421880240290.0,31.0,52150.56,58569.090461538464,,0.2109375,138.0,0.0
421880240546.0,30.0,51884.96,58270.801230769226,,0.1953125,138.0,0.0
421880240802.0,30.0,51884.96,58270.801230769226,,0.16015625,139.0,0.0
421880241058.0,29.0,53359.04,59926.306461538465,,0.19921875,139.0,0.0
421880241314.0,29.0,53359.04,59926.306461538465,,0.1953125,140.0,0.0
421880241570.0,29.0,54116.0,60776.43076923076,,0.2109375,140.0,0.0
421880241826.0,29.0,54116.0,60776.43076923076,,0.19140625,140.0,0.0
421880242082.0,29.0,54049.6,60701.85846153847,,0.2109375,141.0,0.0
