time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421880163746.0,,,,nan,,,
421880164002,10,0.0,0.0,4.0,0.0,70,0
421880164258,10,0.0,0.0,,0.0,70,0
421880164514,10,0.0,0.0,,0.0,70,0
421880164770,10,0.0,0.0,,0.1171875,70,0
421880165026,10,0.0,0.0,,0.15234375,70,0
421880165282,10,0.0,0.0,2.0,0.1640625,70,0
421880165538,14,13691.679999999998,15376.809846153847,,0.234375,70,0
421880165794,25,13691.679999999998,15376.809846153847,,0.30078125,70,0
421880166050,34,26812.32,30112.297846153848,5.0,0.16015625,70,0
421880166306,36,26812.32,30112.297846153848,,0.03125,70,0
421880166562,34,22323.68,25071.209846153848,,0.03125,92,0
421880166818,30,22323.68,25071.209846153848,,0.015625,90,0
421880167074,28,22323.68,25071.209846153848,,0.0,88,0
421880167330,27,20305.12,22804.21169230769,,0.015625,87,0
421880167586,26,20305.12,22804.21169230769,,0.0,87,0
421880167842,25,20305.12,22804.21169230769,,0.015625,87,0
421880168098,25,20305.12,22804.21169230769,,0.0,87,0
421880168354,24,18246.719999999998,20492.470153846152,,0.0,87,0
421880168610,24,18246.719999999998,20492.470153846152,,0.0,87,0
421880168866,23,18246.719999999998,20492.470153846152,,0.0,85,0
421880169122,23,16400.8,18419.36,,0.0,84,0
421880169378,22,16400.8,18419.36,,0.0,84,0
421880169634,22,16400.8,18419.36,,0.0,82,0
421880169890,21,15683.679999999998,17613.979076923075,,0.0,80,0
421880170146,21,15683.679999999998,17613.979076923075,,0.02734375,83,0
421880170402,21,15683.679999999998,17613.979076923075,,0.06640625,86,0
421880170658,21,15683.679999999998,17613.979076923075,,0.03125,92,0
421880170914,21,15683.679999999998,17613.979076923075,,0.0703125,91,0
421880171170,21,19189.6,21551.39692307692,,0.09765625,97,0
421880171426,20,19189.6,21551.39692307692,,0.15234375,95,0
421880171682,19,19189.6,21551.39692307692,,0.05078125,96,0
421880171938,18,19189.6,21551.39692307692,,0.03515625,96,0
421880172194,18,19189.6,21551.39692307692,,0.0,96,0
421880172450,18,19189.6,21551.39692307692,,0.0,96,0
421880172706,19,19189.6,21551.39692307692,,0.015625,97,0
421880172962,18,14103.359999999999,15839.158153846154,,0.03125,94,0
421880173218,17,14103.359999999999,15839.158153846154,,0.05859375,94,0
421880173474,15,14103.359999999999,15839.158153846154,,0.04296875,93,0
421880173730,15,14196.32,15943.559384615384,,0.0703125,93,0
421880173986,15,14196.32,15943.559384615384,,0.04296875,92,0
421880174242,15,14196.32,15943.559384615384,,0.078125,96,0
421880174498,15,14196.32,15943.559384615384,,0.08984375,100,0
421880174754,15,14196.32,15943.559384615384,,0.04296875,101,0
421880175010,15,14196.32,15943.559384615384,,0.07421875,98,0
421880175266,15,14196.32,15943.559384615384,,0.0703125,98,0
421880175522,14,12469.92,14004.679384615383,,0.109375,97,0
421880175778,14,12469.92,14004.679384615383,,0.078125,97,0
421880176034,13,12469.92,14004.679384615383,,0.109375,97,0
421880176290,13,12098.08,13587.074461538461,,0.06640625,97,0
421880176546,13,12098.08,13587.074461538461,,0.0546875,96,0
421880176802,13,12098.08,13587.074461538461,,0.0234375,94,0
421880177058,14,12098.08,13587.074461538461,,0.03125,95,0
421880177314,14,12098.08,13587.074461538461,,0.01953125,95,0
421880177570,13,12948.0,14541.599999999999,,0.02734375,97,0
421880177826,13,12948.0,14541.599999999999,,0.015625,97,0
421880178082,13,12948.0,14541.599999999999,,0.015625,97,0
