time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422053345333.0,,,,nan,,,
422053345589,10,0.0,0.0,5.0,0.0,70,0
422053345845,10,0.0,0.0,,0.0,70,0
422053346101,10,0.0,0.0,,0.0,70,0
422053346357,10,0.0,0.0,,0.23046875,70,0
422053346613,10,0.0,0.0,,0.13671875,70,0
422053346869,15,7622.719999999999,8560.900923076922,,0.109375,70,0
422053347125,29,7622.719999999999,8560.900923076922,,0.0546875,70,0
422053347381,40,7622.719999999999,8560.900923076922,,0.109375,70,0
422053347637,41,16759.36,18822.05046153846,,0.04296875,70,0
422053347893,36,16759.36,18822.05046153846,,0.12109375,112,0
422053348149,32,18592.0,20880.246153846158,,0.10546875,111,0
422053348405,33,18592.0,20880.246153846158,,0.171875,121,0
422053348661,35,18592.0,20880.246153846158,,0.1484375,121,0
422053348917,36,32987.52,37047.52246153846,,0.12109375,123,0
422053349173,35,32987.52,37047.52246153846,,0.0625,123,0
422053349429,33,32987.52,37047.52246153846,,0.0625,129,0
422053349685,33,32987.52,37047.52246153846,,0.09765625,131,0
422053349941,33,32987.52,37047.52246153846,,0.08203125,131,0
422053350197,32,23120.48,25966.07753846154,,0.0546875,131,0
422053350453,28,23120.48,25966.07753846154,,0.01953125,131,0
422053350709,25,23120.48,25966.07753846154,,0.02734375,119,0
422053350965,24,21606.559999999998,24265.828923076922,,0.07421875,125,0
422053351221,24,21606.559999999998,24265.828923076922,,0.05078125,125,0
422053351477,25,22562.719999999998,25339.670153846157,,0.015625,136,0
422053351733,24,22562.719999999998,25339.670153846157,,0.0,137,0
422053351989,24,20982.399999999998,23564.84923076923,,0.0,147,0
422053352245,24,20982.399999999998,23564.84923076923,,0.0,133,0
422053352501,25,19481.76,21879.515076923075,,0.0,112,0
422053352757,24,19481.76,21879.515076923075,,0.0,105,0
422053353013,24,19481.76,21879.515076923075,,0.0,96,0
422053353269,24,19773.92,22207.63323076923,,0.0,93,0
422053353525,23,19773.92,22207.63323076923,,0.0,82,0
422053353781,22,12642.56,14198.567384615384,,0.0,77,0
422053354037,22,12642.56,14198.567384615384,,0.0,76,0
422053354293,23,14767.359999999999,16584.881230769235,,0.0,76,0
422053354549,25,14767.359999999999,16584.881230769235,,0.0,76,0
422053354805,26,14767.359999999999,16584.881230769235,,0.0,75,0
422053355061,27,15338.4,17226.203076923077,,0.0,73,0
422053355317,27,15338.4,17226.203076923077,,0.0,73,0
422053355573,26,14196.32,15943.559384615384,,0.0,73,0
422053355829,26,14196.32,15943.559384615384,,0.0,71,0
422053356085,26,14435.359999999999,16212.019692307693,,0.0,71,0
422053356341,25,14435.359999999999,16212.019692307693,,0.0,73,0
422053356597,25,14448.64,16226.934153846152,,0.0,72,0
422053356853,25,14448.64,16226.934153846152,,0.0,70,0
422053357109,25,14448.64,16226.934153846152,,0.0,73,0
422053357365,26,13691.679999999998,15376.809846153847,,0.0,72,0
422053357621,26,13691.679999999998,15376.809846153847,,0.0,77,0
422053357877,26,13253.439999999999,14884.632615384617,,0.0,77,0
422053358133,26,13253.439999999999,14884.632615384617,,0.0,83,0
422053358389,26,13253.439999999999,14884.632615384617,,0.0,86,0
422053358645,26,13492.48,15153.092923076922,,0.015625,86,0
422053358901,25,13492.48,15153.092923076922,,0.0,90,0
422053359157,25,13492.48,15153.092923076922,,0.015625,92,0
422053359413,24,14355.679999999998,16122.532923076924,,0.05078125,95,0
422053359669,24,14355.679999999998,16122.532923076924,,0.05078125,98,0
422053359925,24,14355.679999999998,16122.532923076924,,0.0703125,100,0
422053360181,23,17622.559999999998,19791.490461538462,,0.06640625,102,0
422053360437,24,17622.559999999998,19791.490461538462,,0.08984375,108,0
422053360693,24,17622.559999999998,19791.490461538462,,0.08984375,108,0
422053360949,24,17622.559999999998,19791.490461538462,,0.08984375,123,0
422053361205,24,17622.559999999998,19791.490461538462,,0.09765625,123,0
422053361461,24,17622.559999999998,19791.490461538462,,0.09375,132,0
422053361717,23,15564.16,17479.74892307692,,0.07421875,116,0
422053361973,21,15564.16,17479.74892307692,,0.05859375,113,0
422053362229,19,15564.16,17479.74892307692,,0.046875,113,0
422053362485,19,16560.16,18598.33353846154,,0.04296875,111,0
422053362741,18,16560.16,18598.33353846154,,0.109375,103,0
422053362997,18,16560.16,18598.33353846154,,0.0546875,102,0
422053363253,18,16560.16,18598.33353846154,,0.07421875,104,0
422053363509,18,17635.84,19806.404923076923,,0.0234375,108,0
422053363765,18,17635.84,19806.404923076923,,0.0,102,0
422053364021,17,17635.84,19806.404923076923,,0.0,97,0
