time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422053339911.0,,,,nan,,,
422053340167,10,0.0,0.0,5.0,0.0,70,0
422053340423,10,0.0,0.0,,0.0,70,0
422053340679,10,0.0,0.0,,0.0,70,0
422053340935,10,0.0,0.0,,0.578125,70,0
422053341191,10,0.0,0.0,,0.1796875,70,0
422053341447,10,0.0,0.0,,0.1875,70,0
422053341703,10,0.0,0.0,,0.04296875,70,0
422053341959,10,0.0,0.0,,0.015625,70,0
422053342215,11,9123.359999999999,10246.235076923076,,0.02734375,70,0
422053342471,14,8685.119999999999,9754.057846153846,,0.0390625,70,0
422053342727,20,8685.119999999999,9754.057846153846,,0.03515625,102,0
422053342983,23,8685.119999999999,9754.057846153846,,0.03125,100,0
422053343239,24,8685.119999999999,9754.057846153846,,0.03125,99,0
422053343495,23,15046.24,16898.084923076924,,0.04296875,99,0
422053343751,22,14156.48,15898.815999999999,,0.046875,99,0
422053344007,23,14156.48,15898.815999999999,,0.01953125,93,0
422053344263,24,14156.48,15898.815999999999,,0.01953125,94,0
422053344519,25,14156.48,15898.815999999999,,0.015625,96,0
422053344775,24,14435.359999999999,16212.019692307693,,0.0,95,0
422053345031,23,14435.359999999999,16212.019692307693,,0.015625,92,0
422053345287,21,14435.359999999999,16212.019692307693,,0.015625,92,0
422053345543,21,14435.359999999999,16212.019692307693,,0.0,91,0
422053345799,21,13638.56,15317.152000000002,,0.0,88,0
422053346055,20,13638.56,15317.152000000002,,0.0390625,87,0
422053346311,20,12801.92,14377.540923076922,,0.02734375,85,0
422053346567,20,12801.92,14377.540923076922,,0.01953125,84,0
422053346823,20,12801.92,14377.540923076922,,0.01953125,84,0
422053347079,21,14979.84,16823.512615384614,,0.01953125,84,0
