Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,breathing_rate [rpm],minute_ventilation [mL/min],minute_ventilation_adjusted [mL/min],activity [g],heart_rate [bpm],cadence [spm]
1648645828,2022-03-30T15:10:28,2022-03-30,15:10:28,15.167,0.0,,,,,,
1648645829,2022-03-30T15:10:29,2022-03-30,15:10:29,15.167,1.0,10.0,0.0,0.0,0.0,70.0,0.0
1648645830,2022-03-30T15:10:30,2022-03-30,15:10:30,15.167,2.0,10.0,0.0,0.0,0.0,70.0,0.0
1648645831,2022-03-30T15:10:31,2022-03-30,15:10:31,15.167,3.0,10.0,0.0,0.0,0.0,70.0,0.0
1648645832,2022-03-30T15:10:32,2022-03-30,15:10:32,15.167,4.0,10.0,0.0,0.0,0.06640625,70.0,0.0
1648645833,2022-03-30T15:10:33,2022-03-30,15:10:33,15.167,5.0,15.0,24979.68,28054.10215384616,0.1953125,70.0,0.0
1648645834,2022-03-30T15:10:34,2022-03-30,15:10:34,15.167,6.0,27.0,24979.68,28054.10215384616,0.4609375,70.0,0.0
1648645835,2022-03-30T15:10:35,2022-03-30,15:10:35,15.167,7.0,37.0,25617.12,28769.996307692316,0.46875,70.0,0.0
1648645836,2022-03-30T15:10:36,2022-03-30,15:10:36,15.167,8.0,40.0,25617.12,28769.996307692316,0.3125,70.0,0.0
1648645837,2022-03-30T15:10:37,2022-03-30,15:10:37,15.167,9.0,39.0,24342.24,27338.208,0.1015625,70.0,0.0
1648645838,2022-03-30T15:10:38,2022-03-30,15:10:38,15.167,10.0,37.0,24342.24,27338.208,0.0859375,70.0,0.0
1648645839,2022-03-30T15:10:39,2022-03-30,15:10:39,15.167,11.0,35.0,23505.6,26398.59692307693,0.1640625,95.0,0.0
1648645840,2022-03-30T15:10:40,2022-03-30,15:10:40,15.167,12.0,35.0,22921.28,25742.36061538462,0.015625,94.0,0.0
1648645841,2022-03-30T15:10:41,2022-03-30,15:10:41,15.167,13.0,35.0,22921.28,25742.36061538462,0.01953125,93.0,0.0
1648645842,2022-03-30T15:10:42,2022-03-30,15:10:42,15.167,14.0,35.0,23359.52,26234.53784615385,0.02734375,93.0,0.0
1648645843,2022-03-30T15:10:43,2022-03-30,15:10:43,15.167,15.0,34.0,23359.52,26234.53784615385,0.0703125,94.0,0.0
1648645844,2022-03-30T15:10:44,2022-03-30,15:10:44,15.167,16.0,34.0,25404.64,28531.36492307693,0.12890625,90.0,0.0
1648645845,2022-03-30T15:10:45,2022-03-30,15:10:45,15.167,17.0,35.0,23864.16,26801.287384615385,0.2109375,90.0,0.0
1648645846,2022-03-30T15:10:46,2022-03-30,15:10:46,15.167,18.0,35.0,23864.16,26801.287384615385,0.32421875,92.0,0.0
1648645847,2022-03-30T15:10:47,2022-03-30,15:10:47,15.167,19.0,36.0,25510.88,28650.68061538462,0.31640625,93.0,0.0
1648645848,2022-03-30T15:10:48,2022-03-30,15:10:48,15.167,20.0,35.0,25510.88,28650.68061538462,0.21484375,93.0,0.0
1648645849,2022-03-30T15:10:49,2022-03-30,15:10:49,15.167,21.0,35.0,25510.88,28650.68061538462,0.140625,94.0,0.0
1648645850,2022-03-30T15:10:50,2022-03-30,15:10:50,15.167,22.0,34.0,23240.0,26100.30769230769,0.3203125,95.0,0.0
1648645851,2022-03-30T15:10:51,2022-03-30,15:10:51,15.167,23.0,33.0,23240.0,26100.30769230769,0.33984375,97.0,0.0
1648645852,2022-03-30T15:10:52,2022-03-30,15:10:52,15.167,24.0,32.0,26002.24,29202.51569230769,0.3359375,98.0,39.0
1648645853,2022-03-30T15:10:53,2022-03-30,15:10:53,15.167,25.0,32.0,26002.24,29202.51569230769,0.3984375,98.0,66.0
1648645854,2022-03-30T15:10:54,2022-03-30,15:10:54,15.167,26.0,32.0,26267.84,29500.804923076917,0.45703125,98.0,82.0
1648645855,2022-03-30T15:10:55,2022-03-30,15:10:55,15.167,27.0,32.0,27542.72,30932.59323076924,0.34375,99.0,96.0
1648645856,2022-03-30T15:10:56,2022-03-30,15:10:56,15.167,28.0,33.0,26958.4,30276.356923076924,0.3828125,99.0,106.0
1648645857,2022-03-30T15:10:57,2022-03-30,15:10:57,15.167,29.0,34.0,26958.4,30276.356923076924,0.39453125,101.0,108.0
