time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422715597180.0,,,,nan,,,
422715597436,10,0.0,0.0,5.0,0.0,70,0
422715597692,10,0.0,0.0,,0.0,70,0
422715597948,10,0.0,0.0,,0.0,70,0
422715598204,10,0.0,0.0,,0.296875,70,0
422715598460,10,0.0,0.0,,0.3515625,70,0
422715598716,10,0.0,0.0,,0.23828125,70,0
422715598972,11,14050.24,15779.500307692308,,0.16796875,70,0
422715599228,14,14050.24,15779.500307692308,,0.14453125,70,0
422715599484,17,14050.24,15779.500307692308,,0.15625,70,0
422715599740,17,17569.44,19731.832615384614,,0.1484375,70,0
422715599996,18,17569.44,19731.832615384614,,0.11328125,98,0
422715600252,19,18087.36,20313.496615384614,,0.1171875,98,0
422715600508,21,17688.96,19866.062769230768,,0.109375,99,0
422715600764,24,17688.96,19866.062769230768,,0.14453125,100,0
422715601020,26,18870.879999999997,21193.44984615385,,0.0546875,95,0
422715601276,27,18870.879999999997,21193.44984615385,,0.0546875,96,0
422715601532,27,18870.879999999997,21193.44984615385,,0.078125,97,0
422715601788,26,17888.16,20089.779692307693,,0.08984375,100,0
422715602044,26,17888.16,20089.779692307693,,0.03125,100,0
422715602300,25,17888.16,20089.779692307693,,0.046875,100,0
422715602556,25,21248.0,23863.13846153846,,0.09375,100,0
422715602812,25,22283.84,25026.46646153846,,0.05078125,100,0
422715603068,27,22283.84,25026.46646153846,,0.15625,100,0
422715603324,28,20637.12,23177.073230769234,,0.125,99,0
422715603580,30,22854.879999999997,25667.78830769231,,0.0859375,98,0
422715603836,32,22854.879999999997,25667.78830769231,,0.0859375,97,0
422715604092,33,22854.879999999997,25667.78830769231,,0.0625,97,0
422715604348,33,22854.879999999997,25667.78830769231,,0.03515625,96,0
422715604604,33,22854.879999999997,25667.78830769231,,0.015625,96,0
422715604860,31,20703.52,23251.64553846154,,0.0,96,0
422715605116,28,20703.52,23251.64553846154,,0.0,93,0
422715605372,25,20703.52,23251.64553846154,,0.015625,93,0
422715605628,24,20703.52,23251.64553846154,,0.0,92,0
422715605884,24,20703.52,23251.64553846154,,0.015625,91,0
422715606140,24,16732.8,18792.221538461537,,0.04296875,91,0
422715606396,22,16732.8,18792.221538461537,,0.05078125,90,0
422715606652,21,17688.96,19866.062769230768,,0.06640625,89,0
422715606908,21,17688.96,19866.062769230768,,0.0546875,89,0
422715607164,21,17688.96,19866.062769230768,,0.10546875,87,0
422715607420,22,15059.519999999999,16912.99938461539,,0.0390625,86,0
422715607676,22,15059.519999999999,16912.99938461539,,0.0703125,84,0
422715607932,22,15059.519999999999,16912.99938461539,,0.046875,84,0
422715608188,22,15059.519999999999,16912.99938461539,,0.09765625,84,0
422715608444,22,15059.519999999999,16912.99938461539,,0.0,84,0
422715608700,21,14315.84,16077.789538461539,,0.01953125,85,0
422715608956,19,14315.84,16077.789538461539,,0.0,85,0
422715609212,18,14315.84,16077.789538461539,,0.0,85,0
422715609468,17,14315.84,16077.789538461539,,0.015625,85,0
422715609724,17,14090.08,15824.243692307691,,0.03125,84,0
422715609980,17,14090.08,15824.243692307691,,0.04296875,84,0
422715610236,17,14090.08,15824.243692307691,,0.1015625,83,0
422715610492,16,14036.96,15764.585846153845,,0.1328125,84,0
422715610748,16,14036.96,15764.585846153845,,0.15234375,84,0
422715611004,16,14036.96,15764.585846153845,,0.13671875,84,0
422715611260,15,14036.96,15764.585846153845,,0.1953125,85,0
422715611516,15,14036.96,15764.585846153845,,0.26953125,86,0
422715611772,15,14740.8,16555.052307692305,,0.09375,88,0
422715612028,16,14740.8,16555.052307692305,,0.12109375,89,0
422715612284,16,14740.8,16555.052307692305,,0.14453125,90,0
422715612540,16,15564.16,17479.74892307692,,0.046875,90,0
422715612796,16,15564.16,17479.74892307692,,0.015625,91,0
422715613052,16,15564.16,17479.74892307692,,0.02734375,91,0
422715613308,17,15112.64,16972.65723076923,,0.046875,91,0
422715613564,16,15112.64,16972.65723076923,,0.02734375,91,0
422715613820,16,15112.64,16972.65723076923,,0.015625,91,0
422715614076,16,14860.32,16689.28246153846,,0.015625,91,0
422715614332,16,14860.32,16689.28246153846,,0.0390625,91,0
422715614588,16,14860.32,16689.28246153846,,0.01953125,92,0
422715614844,16,14860.32,16689.28246153846,,0.015625,93,0
422715615100,16,14860.32,16689.28246153846,,0.0,94,0
422715615356,16,14860.32,16689.28246153846,,0.0,94,0
422715615612,16,14050.24,15779.500307692308,,0.01953125,94,0
422715615868,16,14050.24,15779.500307692308,,0.0234375,91,0
