time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422715592485.0,,,,nan,,,
422715592741,10,0.0,0.0,2.0,0.0,70,0
422715592997,10,0.0,0.0,,0.0,70,0
422715593253,10,0.0,0.0,,0.0,70,0
422715593509,10,0.0,0.0,,0.08984375,70,0
422715593765,10,0.0,0.0,,0.02734375,70,0
422715594021,10,0.0,0.0,,0.34375,70,0
422715594277,12,11606.72,13035.239384615386,,0.52734375,70,0
422715594533,18,11925.439999999999,13393.186461538462,,0.37109375,70,0
422715594789,26,11925.439999999999,13393.186461538462,,0.21875,122,0
422715595045,32,16945.28,19030.852923076924,,0.18359375,121,0
422715595301,33,16945.28,19030.852923076924,,0.04296875,118,0
422715595557,33,16945.28,19030.852923076924,,0.08203125,116,0
422715595813,32,18592.0,20880.246153846158,,0.1640625,115,0
422715596069,29,18592.0,20880.246153846158,,0.1328125,106,0
422715596325,28,20743.36,23296.388923076924,,0.171875,105,0
422715596581,28,20743.36,23296.388923076924,,0.1015625,102,0
422715596837,28,18286.559999999998,20537.21353846154,,0.046875,101,0
422715597093,28,18286.559999999998,20537.21353846154,,0.0390625,100,0
422715597349,27,18286.559999999998,20537.21353846154,,0.0546875,100,0
422715597605,27,21726.079999999998,24400.059076923077,,0.11328125,99,0
422715597861,26,21726.079999999998,24400.059076923077,,0.078125,100,0
422715598117,26,21726.079999999998,24400.059076923077,,0.05078125,100,0
422715598373,26,25059.36,28143.588923076924,,0.08203125,99,0
422715598629,27,25059.36,28143.588923076924,,0.0390625,100,0
422715598885,27,25059.36,28143.588923076924,,0.04296875,101,0
422715599141,27,25019.52,28098.845538461537,,0.078125,102,0
422715599397,25,25019.52,28098.845538461537,,0.046875,103,0
422715599653,24,23691.52,26607.399384615383,,0.02734375,104,0
422715599909,23,23691.52,26607.399384615383,,0.0859375,104,0
422715600165,23,25351.52,28471.707076923078,,0.09375,104,0
422715600421,24,25351.52,28471.707076923078,,0.140625,105,0
422715600677,24,25856.16,29038.456615384617,,0.1484375,104,0
422715600933,25,31779.039999999997,35690.30646153846,,0.1640625,104,0
422715601189,26,31779.039999999997,35690.30646153846,,0.1484375,102,0
422715601445,26,31779.039999999997,35690.30646153846,,0.1484375,102,0
422715601701,26,31779.039999999997,35690.30646153846,,0.38671875,102,0
422715601957,26,42960.799999999996,48248.28307692307,,0.21484375,102,0
422715602213,26,42960.799999999996,48248.28307692307,,0.21875,101,0
422715602469,25,42960.799999999996,48248.28307692307,,0.05078125,101,0
422715602725,25,39654.079999999994,44534.58215384616,,0.01953125,101,0
422715602981,24,39654.079999999994,44534.58215384616,,0.015625,101,0
422715603237,24,39654.079999999994,44534.58215384616,,0.0,102,0
422715603493,24,39654.079999999994,44534.58215384616,,0.0,103,0
422715603749,24,36227.84,40686.65107692307,,0.015625,105,0
422715604005,23,36227.84,40686.65107692307,,0.0,109,0
422715604261,23,35444.32,39806.697846153846,,0.0,111,0
422715604517,23,35444.32,39806.697846153846,,0.0,111,0
422715604773,23,33425.759999999995,37539.69969230769,,0.0,111,0
422715605029,23,33425.759999999995,37539.69969230769,,0.0,111,0
422715605285,23,33425.759999999995,37539.69969230769,,0.0,111,0
422715605541,22,30597.12,34362.91938461538,,0.015625,111,0
422715605797,22,30597.12,34362.91938461538,,0.0,109,0
422715606053,22,26759.199999999997,30052.64,,0.0,106,0
422715606309,21,26759.199999999997,30052.64,,0.0,104,0
422715606565,21,26759.199999999997,30052.64,,0.0,102,0
422715606821,21,13904.16,15615.44123076923,,0.015625,100,0
422715607077,22,13904.16,15615.44123076923,,0.0,98,0
422715607333,22,14302.56,16062.875076923076,,0.0,97,0
422715607589,23,14302.56,16062.875076923076,,0.0,94,0
422715607845,24,16892.16,18971.195076923075,,0.015625,93,0
422715608101,25,16892.16,18971.195076923075,,0.015625,92,0
422715608357,25,16892.16,18971.195076923075,,0.0,92,0
422715608613,26,17596.0,19761.661538461536,,0.015625,93,0
422715608869,26,17596.0,19761.661538461536,,0.0234375,94,0
422715609125,25,20278.559999999998,22774.382769230768,,0.01953125,94,0
422715609381,25,20278.559999999998,22774.382769230768,,0.015625,95,0
422715609637,25,20278.559999999998,22774.382769230768,,0.0,96,0
422715609893,25,19720.8,22147.975384615384,,0.0,97,0
422715610149,24,19720.8,22147.975384615384,,0.0,98,0
422715610405,24,19720.8,22147.975384615384,,0.0,98,0
422715610661,24,18897.44,21223.27876923077,,0.0,98,0
422715610917,23,18897.44,21223.27876923077,,0.0,97,0
422715611173,23,18897.44,21223.27876923077,,0.0,97,0
422715611429,23,18645.12,20939.904000000002,,0.015625,97,0
422715611685,23,18645.12,20939.904000000002,,0.015625,97,0
422715611941,23,18392.8,20656.52923076923,,0.0,97,0
422715612197,23,18392.8,20656.52923076923,,0.015625,96,0
422715612453,23,18392.8,20656.52923076923,,0.0,96,0
