time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421851493685.0,,,,nan,,,
421851493941,10,0.0,0.0,4.0,0.0,70,0
421851494197,10,0.0,0.0,,0.0,70,0
421851494453,10,0.0,0.0,,0.0,70,0
421851494709,10,0.0,0.0,,0.20703125,70,0
421851494965,10,0.0,0.0,,0.3515625,70,0
421851495221,10,0.0,0.0,2.0,0.25,70,0
421851495477,10,0.0,0.0,,0.390625,70,0
421851495733,10,0.0,0.0,,0.36328125,70,0
421851495989,10,0.0,0.0,,0.3203125,70,0
421851496245,11,8353.119999999999,9381.196307692308,,0.1953125,133,0
421851496501,13,8353.119999999999,9381.196307692308,,0.22265625,129,0
421851496757,15,8353.119999999999,9381.196307692308,,0.3359375,125,0
421851497013,16,8353.119999999999,9381.196307692308,,0.1796875,125,0
421851497269,16,9176.48,10305.892923076924,,0.1328125,125,0
421851497525,15,9176.48,10305.892923076924,,0.16015625,125,0
421851497781,15,9176.48,10305.892923076924,,0.1171875,124,0
421851498037,15,9176.48,10305.892923076924,,0.08203125,124,0
421851498293,16,9176.48,10305.892923076924,,0.07421875,117,0
421851498549,16,9176.48,10305.892923076924,,0.10546875,112,0
421851498805,15,13837.76,15540.868923076923,,0.10546875,100,0
421851499061,14,13837.76,15540.868923076923,,0.015625,94,0
421851499317,14,13837.76,15540.868923076923,,0.01953125,91,0
421851499573,14,14448.64,16226.934153846152,,0.0,86,0
421851499829,14,14448.64,16226.934153846152,,0.0,81,0
421851500085,15,14448.64,16226.934153846152,,0.0,75,0
421851500341,15,14448.64,16226.934153846152,,0.0,71,0
421851500597,15,12868.32,14452.11323076923,,0.0,70,0
421851500853,15,12868.32,14452.11323076923,,0.0,66,0
421851501109,15,12868.32,14452.11323076923,,0.0,66,0
421851501365,14,12868.32,14452.11323076923,,0.0,66,0
421851501621,14,12868.32,14452.11323076923,,0.0,62,0
421851501877,14,12868.32,14452.11323076923,,0.0,59,0
421851502133,15,12868.32,14452.11323076923,,0.0,59,0
421851502389,14,16520.32,18553.590153846155,,0.015625,59,0
421851502645,14,16520.32,18553.590153846155,,0.0,58,0
421851502901,13,16520.32,18553.590153846155,,0.0,58,0
421851503157,13,16520.32,18553.590153846155,,0.015625,55,0
421851503413,13,16520.32,18553.590153846155,,0.0,55,0
421851503669,13,16520.32,18553.590153846155,,0.015625,53,0
421851503925,13,16520.32,18553.590153846155,,0.0,54,0
421851504181,13,14515.039999999999,16301.506461538462,,0.0,52,0
421851504437,13,14515.039999999999,16301.506461538462,,0.0,50,0
421851504693,12,14515.039999999999,16301.506461538462,,0.0,50,0
421851504949,12,14515.039999999999,16301.506461538462,,0.0,49,0
421851505205,12,14515.039999999999,16301.506461538462,,0.0,50,0
421851505461,12,14515.039999999999,16301.506461538462,,0.0,49,0
421851505717,12,13598.72,15272.408615384615,,0.0,49,0
421851505973,12,13598.72,15272.408615384615,,0.0,48,0
421851506229,12,13598.72,15272.408615384615,,0.0,46,0
421851506485,11,13598.72,15272.408615384615,,0.0,46,0
421851506741,11,13598.72,15272.408615384615,,0.0,46,0
421851506997,11,13598.72,15272.408615384615,,0.0,46,0
421851507253,11,12363.68,13885.363692307692,,0.015625,46,0
421851507509,11,12363.68,13885.363692307692,,0.0,46,0
421851507765,11,12363.68,13885.363692307692,,0.0,46,0
421851508021,11,12363.68,13885.363692307692,,0.0,46,0
421851508277,11,12363.68,13885.363692307692,,0.0,46,0
421851508533,11,10491.199999999999,11782.424615384614,,0.0,46,0
421851508789,11,10491.199999999999,11782.424615384614,,0.015625,46,0
421851509045,11,10491.199999999999,11782.424615384614,,0.015625,46,0
421851509301,11,10491.199999999999,11782.424615384614,,0.015625,47,0
421851509557,11,10491.199999999999,11782.424615384614,,0.0234375,47,0
421851509813,11,10491.199999999999,11782.424615384614,,0.015625,47,0
421851510069,11,10491.199999999999,11782.424615384614,,0.0,48,0
421851510325,11,9481.92,10648.925538461537,,0.01953125,49,0
421851510581,10,9481.92,10648.925538461537,,0.01953125,50,0
421851510837,10,9481.92,10648.925538461537,,0.0,50,0
421851511093,10,9481.92,10648.925538461537,,0.0,50,0
421851511349,10,9481.92,10648.925538461537,,0.015625,51,0
421851511605,10,9149.92,10276.064000000002,,0.0,52,0
421851511861,10,9149.92,10276.064000000002,,0.0,52,0
421851512117,10,9149.92,10276.064000000002,,0.0,52,0
421851512373,10,9149.92,10276.064000000002,,0.0,52,0
421851512629,10,9149.92,10276.064000000002,,0.015625,52,0
421851512885,10,9149.92,10276.064000000002,,0.0,52,0
421851513141,10,9149.92,10276.064000000002,,0.0,52,0
421851513397,10,9149.92,10276.064000000002,,0.0,52,0
421851513653,10,9149.92,10276.064000000002,,0.0,52,0
421851513909,10,5099.5199999999995,5727.1532307692305,,0.0,52,0
421851514165,9,5099.5199999999995,5727.1532307692305,,0.0,52,0
421851514421,9,5099.5199999999995,5727.1532307692305,,0.0,52,0
421851514677,9,5099.5199999999995,5727.1532307692305,,0.0,52,0
421851514933,9,4953.44,5563.094153846154,,0.0,52,0
421851515189,9,4953.44,5563.094153846154,,0.0,51,0
421851515445,10,4953.44,5563.094153846154,,0.0,51,0
421851515701,10,4953.44,5563.094153846154,,0.0,51,0
421851515957,10,5179.2,5816.639999999999,,0.0,51,0
421851516213,10,5179.2,5816.639999999999,,0.0,51,0
421851516469,10,5179.2,5816.639999999999,,0.0,51,0
421851516725,11,5577.599999999999,6264.073846153847,,0.0,51,0
421851516981,11,5577.599999999999,6264.073846153847,,0.0,50,0
421851517237,11,5577.599999999999,6264.073846153847,,0.0,50,0
421851517493,11,5577.599999999999,6264.073846153847,,0.0,50,0
