"Circuits","Durée","Temps cumulé","Distance","Vitesse moyenne","Ascension totale","Descente totale","Cadence de vélo moyenne","Cadence de vélo maximale","Calories","Température moyenne","Vitesse max","Temps de déplacement","Vitesse moyenne en déplacement"
"1","17:03","17:03","8.05","28.3","65","80","71","137","298","22.0","41.7","16:45","28.8"
"2","15:47","32:50","8.05","30.6","110","64","77","97","305","20.0","62.6","15:47","30.6"
"3","16:19","49:09","8.05","29.6","138","141","74","97","324","18.0","58.2","16:18","29.6"
"4","17:35","1:06:44","8.05","27.5","152","101","71","95","327","19.0","66.0","17:35","27.5"
"5","18:38","1:25:22","8.05","25.9","153","170","67","90","303","18.0","61.7","18:38","25.9"
"6","18:55","1:44:17","8.05","25.5","139","135","68","90","325","18.0","48.6","18:55","25.5"
"7","18:23","2:02:40","8.05","26.3","157","234","65","95","317","18.0","50.6","18:21","26.3"
"8","21:07","2:23:48","8.05","22.9","155","154","62","105","325","18.0","54.7","21:06","22.9"
"9","21:33","2:45:20","8.05","22.4","203","109","68","99","352","16.0","52.8","21:33","22.4"
"10","20:34","3:05:54","8.05","23.5","141","190","69","113","277","15.0","62.9","20:34","23.5"
"11","15:37","3:21:31","8.05","30.9","78","121","70","93","297","15.0","50.4","15:37","30.9"
"12","13:55","3:35:26","5.59","24.1","68","51","64","92","194","15.0","42.2","13:28","24.9"
"Récapitulatif","3:35:26","3:35:26","94.11","26.2","1,559","1,549","69","137","3,644","17.6","66.0","3:34:36","26.3"
