Timestamp,DateTime,Breathing rate (rpm),Minute ventilation (mL/min),Heart rate (bpm)
1647969536,2022-03-22T18:18:56,,,
1647969536,2022-03-22T18:18:56,15.0,17032.0,58.0
1647969537,2022-03-22T18:18:57,16.0,17032.0,58.0
1647969538,2022-03-22T18:18:58,16.0,17032.0,58.0
1647969539,2022-03-22T18:18:59,16.0,17032.0,58.0
1647969540,2022-03-22T18:19:00,16.0,11081.0,59.0
1647969541,2022-03-22T18:19:01,16.0,11081.0,59.0
1647969542,2022-03-22T18:19:02,16.0,11081.0,59.0
1647969543,2022-03-22T18:19:03,17.0,12901.0,59.0
1647969544,2022-03-22T18:19:04,18.0,12901.0,59.0
1647969545,2022-03-22T18:19:05,18.0,12901.0,59.0
1647969546,2022-03-22T18:19:06,19.0,12961.0,59.0
1647969547,2022-03-22T18:19:07,19.0,12961.0,59.0
1647969548,2022-03-22T18:19:08,19.0,13348.0,59.0
1647969549,2022-03-22T18:19:09,20.0,13348.0,59.0
1647969550,2022-03-22T18:19:10,20.0,13348.0,59.0
1647969551,2022-03-22T18:19:11,21.0,13632.0,60.0
1647969552,2022-03-22T18:19:12,21.0,13632.0,60.0
1647969553,2022-03-22T18:19:13,21.0,13632.0,62.0
1647969554,2022-03-22T18:19:14,20.0,15809.0,63.0
1647969555,2022-03-22T18:19:15,20.0,15809.0,65.0
1647969556,2022-03-22T18:19:16,20.0,15809.0,65.0
1647969557,2022-03-22T18:19:17,20.0,17256.0,66.0
1647969558,2022-03-22T18:19:18,21.0,17569.0,66.0
1647969559,2022-03-22T18:19:19,22.0,17569.0,66.0
1647969560,2022-03-22T18:19:20,22.0,17569.0,67.0
1647969561,2022-03-22T18:19:21,22.0,17569.0,68.0
1647969562,2022-03-22T18:19:22,22.0,20313.0,71.0
1647969563,2022-03-22T18:19:23,22.0,20313.0,76.0
1647969564,2022-03-22T18:19:24,21.0,20313.0,74.0
1647969565,2022-03-22T18:19:25,21.0,20313.0,75.0
1647969566,2022-03-22T18:19:26,21.0,20313.0,75.0
1647969567,2022-03-22T18:19:27,21.0,20313.0,74.0
1647969568,2022-03-22T18:19:28,21.0,20313.0,75.0
1647969569,2022-03-22T18:19:29,21.0,26488.0,77.0
1647969570,2022-03-22T18:19:30,19.0,26488.0,79.0
1647969571,2022-03-22T18:19:31,18.0,29217.0,81.0
1647969572,2022-03-22T18:19:32,18.0,29217.0,82.0
1647969573,2022-03-22T18:19:33,18.0,29217.0,87.0
1647969574,2022-03-22T18:19:34,18.0,29710.0,89.0
1647969575,2022-03-22T18:19:35,18.0,29710.0,87.0
1647969576,2022-03-22T18:19:36,18.0,29710.0,90.0
1647969577,2022-03-22T18:19:37,18.0,29650.0,95.0
1647969578,2022-03-22T18:19:38,18.0,29650.0,99.0
1647969579,2022-03-22T18:19:39,18.0,29650.0,100.0
1647969580,2022-03-22T18:19:40,18.0,29993.0,100.0
1647969581,2022-03-22T18:19:41,18.0,29993.0,100.0
1647969582,2022-03-22T18:19:42,18.0,29993.0,101.0
1647969583,2022-03-22T18:19:43,18.0,29993.0,101.0
1647969584,2022-03-22T18:19:44,18.0,29024.0,103.0
1647969585,2022-03-22T18:19:45,17.0,29024.0,104.0
1647969586,2022-03-22T18:19:46,17.0,29024.0,103.0
1647969587,2022-03-22T18:19:47,17.0,30053.0,103.0
1647969588,2022-03-22T18:19:48,17.0,30053.0,101.0
